"id","kind","locale","text","meaning_zh","planned_path","direction","status"
"word-short","word","en-US","short","短的","assets/audio/en-US/words/short.mp3","Read only the supplied text.","draft_pending_review"
"word-happy","word","en-US","happy","开心的","assets/audio/en-US/words/happy.mp3","Read only the supplied text.","draft_pending_review"
"word-sad","word","en-US","sad","难过的","assets/audio/en-US/words/sad.mp3","Read only the supplied text.","draft_pending_review"
"word-clean","word","en-US","clean","干净的","assets/audio/en-US/words/clean.mp3","Read only the supplied text.","draft_pending_review"
"word-dirty","word","en-US","dirty","脏的","assets/audio/en-US/words/dirty.mp3","Read only the supplied text.","draft_pending_review"
"word-fast","word","en-US","fast","快的","assets/audio/en-US/words/fast.mp3","Read only the supplied text.","draft_pending_review"
"word-slow","word","en-US","slow","慢的","assets/audio/en-US/words/slow.mp3","Read only the supplied text.","draft_pending_review"
"meaning-rabbit","task","en-US","An animal with long ears that can hop.","rabbit：兔子。","assets/audio/en-US/tasks/meaning-rabbit.mp3","Read only the English definition.","draft_pending_review"
"meaning-tiger","task","en-US","A large wild cat with dark stripes.","tiger：老虎。","assets/audio/en-US/tasks/meaning-tiger.mp3","Read only the English definition.","draft_pending_review"
"meaning-turtle","task","en-US","An animal with a hard shell on its back.","turtle：龟。","assets/audio/en-US/tasks/meaning-turtle.mp3","Read only the English definition.","draft_pending_review"
"meaning-fish","task","en-US","An animal with gills and fins that lives in water.","fish：鱼。","assets/audio/en-US/tasks/meaning-fish.mp3","Read only the English definition.","draft_pending_review"
"meaning-bird","task","en-US","An animal with feathers and a beak.","bird：鸟。","assets/audio/en-US/tasks/meaning-bird.mp3","Read only the English definition.","draft_pending_review"
"meaning-dog","task","en-US","An animal that can bark.","dog：狗。","assets/audio/en-US/tasks/meaning-dog.mp3","Read only the English definition.","draft_pending_review"
"meaning-cat","task","en-US","An animal that can meow.","cat：猫。","assets/audio/en-US/tasks/meaning-cat.mp3","Read only the English definition.","draft_pending_review"
"meaning-umbrella","task","en-US","Something you hold over your head to keep off the rain.","umbrella：雨伞。","assets/audio/en-US/tasks/meaning-umbrella.mp3","Read only the English definition.","draft_pending_review"
"meaning-raincoat","task","en-US","A coat you wear to keep dry in the rain.","raincoat：雨衣。","assets/audio/en-US/tasks/meaning-raincoat.mp3","Read only the English definition.","draft_pending_review"
"meaning-coat","task","en-US","A piece of clothing you wear over other clothes to keep warm.","coat：外套。","assets/audio/en-US/tasks/meaning-coat.mp3","Read only the English definition.","draft_pending_review"
"meaning-hat","task","en-US","Something you wear on your head.","hat：帽子。","assets/audio/en-US/tasks/meaning-hat.mp3","Read only the English definition.","draft_pending_review"
"meaning-shoes","task","en-US","Things you wear on your feet when you go outside.","shoes：鞋。","assets/audio/en-US/tasks/meaning-shoes.mp3","Read only the English definition.","draft_pending_review"
"meaning-bag","task","en-US","Something you use to carry your things.","bag：包。","assets/audio/en-US/tasks/meaning-bag.mp3","Read only the English definition.","draft_pending_review"
"meaning-book","task","en-US","A set of pages you can read.","book：书。","assets/audio/en-US/tasks/meaning-book.mp3","Read only the English definition.","draft_pending_review"
"meaning-pencil","task","en-US","Something you write with that can be sharpened.","pencil：铅笔。","assets/audio/en-US/tasks/meaning-pencil.mp3","Read only the English definition.","draft_pending_review"
"meaning-chair","task","en-US","A seat for one person, usually with a back.","chair：椅子。","assets/audio/en-US/tasks/meaning-chair.mp3","Read only the English definition.","draft_pending_review"
"meaning-table","task","en-US","Furniture with a flat top where you can put your plate.","table：桌子。","assets/audio/en-US/tasks/meaning-table.mp3","Read only the English definition.","draft_pending_review"
"meaning-bed","task","en-US","Furniture you sleep in.","bed：床。","assets/audio/en-US/tasks/meaning-bed.mp3","Read only the English definition.","draft_pending_review"
"meaning-door","task","en-US","Something you open to enter a room.","door：门。","assets/audio/en-US/tasks/meaning-door.mp3","Read only the English definition.","draft_pending_review"
"meaning-window","task","en-US","An opening with glass that lets light into a room.","window：窗户。","assets/audio/en-US/tasks/meaning-window.mp3","Read only the English definition.","draft_pending_review"
"meaning-apple","task","en-US","A round fruit that can be red or green.","apple：苹果。","assets/audio/en-US/tasks/meaning-apple.mp3","Read only the English definition.","draft_pending_review"
"meaning-banana","task","en-US","A long fruit with a yellow skin.","banana：香蕉。","assets/audio/en-US/tasks/meaning-banana.mp3","Read only the English definition.","draft_pending_review"
"meaning-bread","task","en-US","Food made from flour and baked in an oven, often in a loaf.","bread：面包。","assets/audio/en-US/tasks/meaning-bread.mp3","Read only the English definition.","draft_pending_review"
"meaning-milk","task","en-US","A white drink that can come from cows.","milk：牛奶。","assets/audio/en-US/tasks/meaning-milk.mp3","Read only the English definition.","draft_pending_review"
"meaning-run","task","en-US","To move quickly on your feet.","run：跑。","assets/audio/en-US/tasks/meaning-run.mp3","Read only the English definition.","draft_pending_review"
"meaning-walk","task","en-US","To move on your feet, more slowly than running.","walk：走。","assets/audio/en-US/tasks/meaning-walk.mp3","Read only the English definition.","draft_pending_review"
"meaning-jump","task","en-US","To push yourself off the ground with your legs.","jump：跳。","assets/audio/en-US/tasks/meaning-jump.mp3","Read only the English definition.","draft_pending_review"
"meaning-swim","task","en-US","To move through water using your body.","swim：游泳。","assets/audio/en-US/tasks/meaning-swim.mp3","Read only the English definition.","draft_pending_review"
"meaning-fly","task","en-US","To move through the air using wings.","fly：飞。","assets/audio/en-US/tasks/meaning-fly.mp3","Read only the English definition.","draft_pending_review"
"meaning-read","task","en-US","To look at written words and understand them.","read：阅读。","assets/audio/en-US/tasks/meaning-read.mp3","Read only the English definition.","draft_pending_review"
"meaning-write","task","en-US","To make letters or words with a pen or pencil.","write：写。","assets/audio/en-US/tasks/meaning-write.mp3","Read only the English definition.","draft_pending_review"
"meaning-eat","task","en-US","To put food in your mouth and swallow it.","eat：吃。","assets/audio/en-US/tasks/meaning-eat.mp3","Read only the English definition.","draft_pending_review"
"meaning-drink","task","en-US","To take water or another liquid into your mouth and swallow it.","drink：喝。","assets/audio/en-US/tasks/meaning-drink.mp3","Read only the English definition.","draft_pending_review"
"meaning-sleep","task","en-US","To rest with your eyes closed while you are not awake.","sleep：睡觉。","assets/audio/en-US/tasks/meaning-sleep.mp3","Read only the English definition.","draft_pending_review"
"meaning-open","task","en-US","To move a door so that people can go through it.","open：打开。","assets/audio/en-US/tasks/meaning-open.mp3","Read only the English definition.","draft_pending_review"
"meaning-close","task","en-US","To move a door so that it is shut.","close：关上。","assets/audio/en-US/tasks/meaning-close.mp3","Read only the English definition.","draft_pending_review"
"meaning-hot","task","en-US","Having a high temperature; the opposite of cold.","hot：热的。","assets/audio/en-US/tasks/meaning-hot.mp3","Read only the English definition.","draft_pending_review"
"meaning-cold","task","en-US","Having a low temperature; the opposite of hot.","cold：冷的。","assets/audio/en-US/tasks/meaning-cold.mp3","Read only the English definition.","draft_pending_review"
"meaning-big","task","en-US","Large in size; the opposite of small.","big：大的。","assets/audio/en-US/tasks/meaning-big.mp3","Read only the English definition.","draft_pending_review"
"meaning-small","task","en-US","Little in size; the opposite of big.","small：小的。","assets/audio/en-US/tasks/meaning-small.mp3","Read only the English definition.","draft_pending_review"
"meaning-long","task","en-US","Measuring a large distance from one end to the other.","long：长的。","assets/audio/en-US/tasks/meaning-long.mp3","Read only the English definition.","draft_pending_review"
"meaning-short","task","en-US","Measuring a small distance from one end to the other.","short：短的。","assets/audio/en-US/tasks/meaning-short.mp3","Read only the English definition.","draft_pending_review"
"meaning-happy","task","en-US","Feeling pleased or glad.","happy：开心的。","assets/audio/en-US/tasks/meaning-happy.mp3","Read only the English definition.","draft_pending_review"
"meaning-sad","task","en-US","Feeling unhappy.","sad：难过的。","assets/audio/en-US/tasks/meaning-sad.mp3","Read only the English definition.","draft_pending_review"
"meaning-clean","task","en-US","Not dirty.","clean：干净的。","assets/audio/en-US/tasks/meaning-clean.mp3","Read only the English definition.","draft_pending_review"
"meaning-dirty","task","en-US","Not clean.","dirty：脏的。","assets/audio/en-US/tasks/meaning-dirty.mp3","Read only the English definition.","draft_pending_review"
"meaning-fast","task","en-US","Moving quickly; the opposite of slow.","fast：快的。","assets/audio/en-US/tasks/meaning-fast.mp3","Read only the English definition.","draft_pending_review"
"meaning-slow","task","en-US","Not moving quickly; the opposite of fast.","slow：慢的。","assets/audio/en-US/tasks/meaning-slow.mp3","Read only the English definition.","draft_pending_review"
"context-run","task","en-US","During the race, I blank as fast as I can.","比赛时，我尽可能快地跑。","assets/audio/en-US/tasks/context-run.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-walk","task","en-US","I blank slowly to school on foot.","我慢慢步行去学校。","assets/audio/en-US/tasks/context-walk.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-jump","task","en-US","I blank into the air over the low rope.","我跃起跳过低矮的绳子。","assets/audio/en-US/tasks/context-jump.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-swim","task","en-US","Fish blank in the water.","鱼在水中游泳。","assets/audio/en-US/tasks/context-swim.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-fly","task","en-US","Birds blank through the sky.","鸟儿在天空中飞。","assets/audio/en-US/tasks/context-fly.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-read","task","en-US","I blank a story in my book.","我阅读书里的故事。","assets/audio/en-US/tasks/context-read.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-write","task","en-US","I blank my name with a pencil.","我用铅笔写下名字。","assets/audio/en-US/tasks/context-write.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-eat","task","en-US","I blank a banana for breakfast.","我早餐吃一根香蕉。","assets/audio/en-US/tasks/context-eat.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-drink","task","en-US","I blank a glass of milk.","我喝一杯牛奶。","assets/audio/en-US/tasks/context-drink.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-sleep","task","en-US","At night, I blank in my bed until morning.","晚上我在床上睡到早晨。","assets/audio/en-US/tasks/context-sleep.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-open","task","en-US","Please blank the closed door so I can come in.","请打开关着的门，让我进来。","assets/audio/en-US/tasks/context-open.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-close","task","en-US","Please blank the open door to keep the cold wind out.","请关上开着的门，挡住冷风。","assets/audio/en-US/tasks/context-close.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-hot","task","en-US","This soup is too blank to eat. Let it cool.","汤太热，先让它凉一凉。","assets/audio/en-US/tasks/context-hot.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-cold","task","en-US","The ice feels blank in my hand.","手里的冰感觉很冷。","assets/audio/en-US/tasks/context-cold.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-big","task","en-US","This box is too blank to fit through the small door.","箱子太大，无法通过小门。","assets/audio/en-US/tasks/context-big.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-small","task","en-US","The shoes are too blank for my feet. I need a bigger pair.","鞋子太小，我需要更大的一双。","assets/audio/en-US/tasks/context-small.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-long","task","en-US","The rope is too blank. Please cut some off.","绳子太长，请剪掉一段。","assets/audio/en-US/tasks/context-long.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-short","task","en-US","The rope is too blank to reach the other side. We need a longer one.","绳子太短，够不到另一边，需要更长的。","assets/audio/en-US/tasks/context-short.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-happy","task","en-US","I am blank because I got a lovely gift.","收到可爱的礼物，我很开心。","assets/audio/en-US/tasks/context-happy.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-sad","task","en-US","I feel blank because I lost my favorite toy.","丢了最喜欢的玩具，我很难过。","assets/audio/en-US/tasks/context-sad.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-clean","task","en-US","After washing away all the mud, my hands are blank.","洗掉所有泥后，我的手干净了。","assets/audio/en-US/tasks/context-clean.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-dirty","task","en-US","My shoes are blank because they are covered in mud.","鞋子沾满泥，所以很脏。","assets/audio/en-US/tasks/context-dirty.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-fast","task","en-US","This car is blank. It moves quickly.","这辆车速度快。","assets/audio/en-US/tasks/context-fast.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"context-slow","task","en-US","This car is blank. It does not move quickly.","这辆车速度慢。","assets/audio/en-US/tasks/context-slow.mp3","Say the word 'blank' at the missing word. Do not reveal the answer.","draft_pending_review"
"collectible-triceratops-name","collection","en-US","Triceratops","三角龙","assets/audio/en-US/collectibles/triceratops-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-triceratops-line","collection","en-US","I have three horns.","我有三只角。","assets/audio/en-US/collectibles/triceratops-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-stegosaurus-name","collection","en-US","Stegosaurus","剑龙","assets/audio/en-US/collectibles/stegosaurus-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-stegosaurus-line","collection","en-US","I have plates on my back.","我的背上有骨板。","assets/audio/en-US/collectibles/stegosaurus-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-pterosaur-name","collection","en-US","Pterosaur","翼龙","assets/audio/en-US/collectibles/pterosaur-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-pterosaur-line","collection","en-US","I can fly.","我会飞。","assets/audio/en-US/collectibles/pterosaur-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-dinosaur-egg-name","collection","en-US","Dinosaur egg","恐龙蛋","assets/audio/en-US/collectibles/dinosaur-egg-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-dinosaur-egg-line","collection","en-US","What is inside the egg?","蛋里面是什么？","assets/audio/en-US/collectibles/dinosaur-egg-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-fossil-display-name","collection","en-US","Fossil","化石展示台","assets/audio/en-US/collectibles/fossil-display-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-fossil-display-line","collection","en-US","This fossil is very old.","这块化石很古老。","assets/audio/en-US/collectibles/fossil-display-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-little-tyrannosaurus-name","collection","en-US","T. rex","小霸王龙","assets/audio/en-US/collectibles/little-tyrannosaurus-name.mp3","Pronounce T. rex as tee reks.","draft_pending_review"
"collectible-little-tyrannosaurus-line","collection","en-US","I have a long tail.","我有一条长尾巴。","assets/audio/en-US/collectibles/little-tyrannosaurus-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-rocket-name","collection","en-US","Rocket","小火箭","assets/audio/en-US/collectibles/rocket-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-rocket-line","collection","en-US","My rocket flies into space.","我的火箭飞向太空。","assets/audio/en-US/collectibles/rocket-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-moon-rover-name","collection","en-US","Moon rover","月球车","assets/audio/en-US/collectibles/moon-rover-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-moon-rover-line","collection","en-US","This rover moves on the moon.","这辆月球车在月球上行驶。","assets/audio/en-US/collectibles/moon-rover-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-satellite-name","collection","en-US","Satellite","卫星","assets/audio/en-US/collectibles/satellite-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-satellite-line","collection","en-US","The satellite goes around Earth.","这颗卫星绕地球运行。","assets/audio/en-US/collectibles/satellite-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-space-helmet-name","collection","en-US","Space helmet","宇航头盔","assets/audio/en-US/collectibles/space-helmet-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-space-helmet-line","collection","en-US","This is my space helmet.","这是我的宇航头盔。","assets/audio/en-US/collectibles/space-helmet-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-planet-model-name","collection","en-US","Planet","星球摆件","assets/audio/en-US/collectibles/planet-model-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-planet-model-line","collection","en-US","This planet has rings.","这颗行星有光环。","assets/audio/en-US/collectibles/planet-model-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-star-robot-name","collection","en-US","Robot","星际机器人","assets/audio/en-US/collectibles/star-robot-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-star-robot-line","collection","en-US","Hello! I am your robot friend.","你好！我是你的机器人朋友。","assets/audio/en-US/collectibles/star-robot-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-sea-turtle-name","collection","en-US","Sea turtle","海龟","assets/audio/en-US/collectibles/sea-turtle-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-sea-turtle-line","collection","en-US","I swim in the ocean.","我在海洋里游泳。","assets/audio/en-US/collectibles/sea-turtle-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-clownfish-name","collection","en-US","Clownfish","小丑鱼","assets/audio/en-US/collectibles/clownfish-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-clownfish-line","collection","en-US","I am a small fish.","我是一条小鱼。","assets/audio/en-US/collectibles/clownfish-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-octopus-name","collection","en-US","Octopus","章鱼","assets/audio/en-US/collectibles/octopus-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-octopus-line","collection","en-US","I have eight arms.","我有八条腕。","assets/audio/en-US/collectibles/octopus-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-shell-house-name","collection","en-US","Shell house","贝壳屋","assets/audio/en-US/collectibles/shell-house-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-shell-house-line","collection","en-US","Welcome to my little house.","欢迎来到我的小房子。","assets/audio/en-US/collectibles/shell-house-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-submarine-name","collection","en-US","Submarine","潜水艇","assets/audio/en-US/collectibles/submarine-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-submarine-line","collection","en-US","My submarine goes underwater.","我的潜水艇潜入水下。","assets/audio/en-US/collectibles/submarine-line.mp3","Read only the supplied text.","draft_pending_review"
"collectible-little-whale-name","collection","en-US","Whale","小鲸鱼","assets/audio/en-US/collectibles/little-whale-name.mp3","Read only the supplied text.","draft_pending_review"
"collectible-little-whale-line","collection","en-US","I live in the ocean.","我生活在海洋里。","assets/audio/en-US/collectibles/little-whale-line.mp3","Read only the supplied text.","draft_pending_review"
